"","0.25","0.3","0.4","0.5","0.8","1"
"0.25",136.575,135.851,126.024,124.161,119.005,113.716
"0.25 se",12.735,12.84,11.215,11.25,10.541,9.772
"0.3",275.113,275.403,273.279,269.125,261.579,253.753
"0.3 se",20.496,21.628,18.886,18.536,18.513,17.469
"0.4",788.919,789.721,815.787,814.57,801.808,788.051
"0.4 se",43.636,43.729,40.655,40.259,40.911,37.44
"0.5",1682.348,1684.651,1762.917,1763.554,1754.907,1734.471
"0.5 se",72.126,73.143,65.142,65.82,67.399,61.024
"0.8",7358.154,7353.476,7644.735,7678.733,7752.486,7695.051
"0.8 se",173.082,171.744,148.954,148.769,155.526,142.396
"1",15816.371,15809.551,16242.975,16283.568,16481.725,16678.152
"1 se",267.005,267.048,230.786,230.795,244.39,227.002
