"","0.25","0.3","0.4","0.5","0.8","1"
"0.25",132.658,131.279,125.219,123.81,116.867,113.294
"0.25 se",11.645,12.005,10.64,11.406,10.354,10.245
"0.3",269.583,275.315,272.577,268.992,258.618,252.937
"0.3 se",19.747,18.983,18.768,18.72,17.291,17.272
"0.4",777.857,808.317,815.328,814.123,797.159,785.719
"0.4 se",43.487,42.003,39.272,39.893,38.626,37.8
"0.5",1665.557,1742.534,1761.056,1762.325,1746.703,1730.083
"0.5 se",73.837,70.718,65.552,63.829,65.816,61.776
"0.8",7317.03,7561.072,7641.732,7670.615,7729.22,7687.437
"0.8 se",172.544,167.266,148.707,148.31,150.431,143.211
"1",15772.875,16093.478,16231.517,16266.247,16403.576,16672.69
"1 se",266.152,261.09,230.2,230.663,230.583,227.161
