"edu","prevearn","n"
7,0,20
7,636.363636363636,3
7,1272.72727272727,2
7,1909.09090909091,1
7,2545.45454545455,1
7,3181.81818181818,1
7,3818.18181818182,0
7,4454.54545454545,0
7,5090.90909090909,1
7,5727.27272727273,0
7,6363.63636363636,0
7,7000,2
7,7636.36363636364,0
7,8272.72727272727,1
7,8909.09090909091,1
7,9545.45454545455,0
7,10181.8181818182,0
7,10818.1818181818,0
7,11454.5454545455,0
7,12090.9090909091,0
7,12727.2727272727,0
7,13363.6363636364,0
7,14000,0
7,14636.3636363636,0
7,15272.7272727273,0
7,15909.0909090909,0
7,16545.4545454545,0
7,17181.8181818182,0
7,17818.1818181818,1
7,18454.5454545455,0
7,19090.9090909091,0
7,19727.2727272727,0
7,20363.6363636364,0
7,21000,0
7,21636.3636363636,0
7,22272.7272727273,0
7,22909.0909090909,0
7,23545.4545454545,0
7,24181.8181818182,0
7,24818.1818181818,0
7,25454.5454545455,0
7,26090.9090909091,0
7,26727.2727272727,0
7,27363.6363636364,0
7,28000,0
7,28636.3636363636,0
7,29272.7272727273,0
7,29909.0909090909,0
7,30545.4545454545,0
7,31181.8181818182,0
7,31818.1818181818,0
7,32454.5454545455,0
7,33090.9090909091,0
7,33727.2727272727,0
7,34363.6363636364,0
7,35000,0
7,35636.3636363636,0
7,36272.7272727273,0
7,36909.0909090909,0
7,37545.4545454545,0
7,38181.8181818182,0
7,38818.1818181818,0
7,39454.5454545455,0
7,40090.9090909091,0
7,40727.2727272727,0
7,41363.6363636364,0
7,42000,0
7,42636.3636363636,0
7,43272.7272727273,0
7,43909.0909090909,0
7,44545.4545454545,0
7,45181.8181818182,0
7,45818.1818181818,0
7,46454.5454545455,0
7,47090.9090909091,0
7,47727.2727272727,0
7,48363.6363636364,0
7,49000,0
7,49636.3636363636,0
7,50272.7272727273,0
7,50909.0909090909,0
7,51545.4545454545,0
7,52181.8181818182,0
7,52818.1818181818,0
7,53454.5454545455,0
7,54090.9090909091,0
7,54727.2727272727,0
7,55363.6363636364,0
7,56000,0
7,56636.3636363636,0
7,57272.7272727273,0
7,57909.0909090909,0
7,58545.4545454545,0
7,59181.8181818182,0
7,59818.1818181818,0
7,60454.5454545455,0
7,61090.9090909091,0
7,61727.2727272727,0
7,62363.6363636364,0
7,63000,0
8,0,315
8,636.363636363636,57
8,1272.72727272727,34
8,1909.09090909091,36
8,2545.45454545455,25
8,3181.81818181818,27
8,3818.18181818182,19
8,4454.54545454545,15
8,5090.90909090909,15
8,5727.27272727273,13
8,6363.63636363636,6
8,7000,5
8,7636.36363636364,4
8,8272.72727272727,10
8,8909.09090909091,10
8,9545.45454545455,3
8,10181.8181818182,4
8,10818.1818181818,3
8,11454.5454545455,1
8,12090.9090909091,0
8,12727.2727272727,1
8,13363.6363636364,1
8,14000,2
8,14636.3636363636,1
8,15272.7272727273,2
8,15909.0909090909,3
8,16545.4545454545,1
8,17181.8181818182,0
8,17818.1818181818,1
8,18454.5454545455,0
8,19090.9090909091,0
8,19727.2727272727,0
8,20363.6363636364,0
8,21000,0
8,21636.3636363636,0
8,22272.7272727273,0
8,22909.0909090909,0
8,23545.4545454545,0
8,24181.8181818182,1
8,24818.1818181818,0
8,25454.5454545455,0
8,26090.9090909091,0
8,26727.2727272727,0
8,27363.6363636364,0
8,28000,1
8,28636.3636363636,0
8,29272.7272727273,0
8,29909.0909090909,0
8,30545.4545454545,0
8,31181.8181818182,0
8,31818.1818181818,0
8,32454.5454545455,0
8,33090.9090909091,0
8,33727.2727272727,0
8,34363.6363636364,0
8,35000,0
8,35636.3636363636,0
8,36272.7272727273,0
8,36909.0909090909,0
8,37545.4545454545,0
8,38181.8181818182,0
8,38818.1818181818,0
8,39454.5454545455,0
8,40090.9090909091,0
8,40727.2727272727,0
8,41363.6363636364,0
8,42000,0
8,42636.3636363636,0
8,43272.7272727273,0
