D,earnings,edu,prevearn
1,1353,12,0
1,4984,11,3591
1,27707,12,0
1,31860,10,9476
0,26615,9,9600
1,48541,12,200
1,3240,13,10000
1,8385,12,0
1,4036,12,10339
1,16419,12,5000
1,22221,12,150
1,1933,8,1671
0,19541,12,0
1,25766,12,1569
1,9879,12,11400
0,25199,13,5000
0,24765,17,3412
1,29780,14,8000
0,18888,12,12300
1,33390,12,7751
0,12537,11,600
0,48254,12,6634
0,23686,10,0
0,10112,12,500
0,33570,12,8460
0,12301,9,2500
0,27676,12,8020
0,57676,12,13000
1,38018,12,4500
1,3366,9,0
1,4038,9,1000
0,13892,14,4000
0,14598,13,2041
1,439,9,0
1,20609,15,0
0,37644,12,3500
1,21219,10,5200
0,9747,12,4500
0,0,10,154
1,31196,11,10000
0,34728,13,10000
0,126,11,0
1,1763,10,2000
1,7028,10,30
1,4506,12,0
1,2203,14,1200
0,3765,12,2948
1,5475,12,0
0,12394,12,0
1,8372,12,0
1,11018,12,0
0,1109,12,0
0,75,9,1800
0,26944,12,0
0,2787,12,12000
1,11832,11,0
1,8127,15,3200
0,26525,12,14102
1,8860,12,1500
1,43596,12,11653
1,48727,14,1000
1,28029,12,0
0,20865,11,0
1,56089,16,5280
1,4310,10,1546
1,2952,11,0
1,23830,12,4500
1,13871,13,4421
1,9962,13,12088
1,14459,10,5500
0,3721,12,9000
1,6261,9,500
0,35676,12,4000
1,12758,10,0
1,9003,12,8440
0,24135,11,100
0,2612,11,11490
1,698,12,2500
1,141,11,0
1,34593,12,6500
1,10840,12,6000
0,0,10,1927
1,0,10,150
1,27431,13,8000
0,0,8,0
1,0,12,8750
0,0,12,0
1,1929,11,422
1,0,16,3815
1,90483,15,2000
0,19344,12,1000
1,47184,12,15000
0,1008,12,212
1,22026,14,6000
1,19501,13,7000
0,60007,10,10000
0,13383,17,5500
1,42547,12,11000
1,9285,12,2300
1,2769,12,4000
0,22820,13,450
0,6119,15,1300
0,8952,9,0
1,11797,14,5500
0,53103,12,12000
0,6432,14,2000
1,0,8,0
1,0,10,0
1,20014,12,700
0,0,8,0
1,51495,11,4875
1,13500,12,0
1,2874,14,3000
1,45968,14,2856
0,29458,11,9625
1,24365,14,600
1,3999,15,10000
1,43734,11,6500
0,83989,12,10000
0,0,12,19000
0,37122,8,3000
1,40305,11,1024
0,2824,16,5000
0,10371,10,0
1,25585,12,0
1,17470,8,8120
0,5854,9,350
0,10047,11,86
0,62424,16,14665
1,0,8,1045
1,0,12,0
1,26214,10,5730
0,17943,10,2400
0,0,9,6000
1,12586,11,1000
1,5637,9,0
0,1935,11,0
1,11619,12,2112
1,5992,11,2725
0,2993,13,1100
0,0,12,671
1,22614,10,130
1,22636,9,5200
1,22895,12,3000
1,9343,13,11475
1,17181,12,8786
1,1611,12,550
0,1455,13,0
1,14757,15,0
1,0,10,3792
1,11636,8,300
1,201,12,200
1,17739,12,0
0,8284,14,2800
1,31312,12,5400
1,17038,12,1400
1,325,11,0
1,17160,12,15000
1,19329,12,3800
0,15841,10,7500
0,7551,12,2100
0,1956,10,3900
1,0,13,5000
1,4446,9,98
1,9449,8,5915
1,31774,13,1300
1,27546,12,0
1,1440,8,400
1,14295,12,300
1,7898,11,3235
0,34745,12,7000
0,3779,14,4000
1,247,11,150
0,22289,12,2808
1,8550,12,6000
1,700,12,0
0,16977,11,2160
1,19416,8,1000
1,35986,12,3593
1,7591,12,300
1,21561,11,600
1,4968,12,3000
0,13367,14,2000
1,15471,12,8125
1,6489,11,400
0,337,12,0
1,62715,12,0
1,0,12,0
1,56963,16,3500
1,4998,12,200
1,0,17,1440
1,22951,13,1300
1,43748,15,12500
0,79720,11,1000
1,5130,12,3400
1,2613,9,0
0,9755,11,7143
0,0,8,0
1,14529,12,3380
0,12773,8,9
0,24807,12,8386
1,2115,10,0
0,0,11,3000
1,28249,14,8000
0,447,12,800
0,960,13,0
1,375,16,0
1,2359,9,0
0,22530,12,4800
1,13280,12,0
0,690,16,16700
1,1215,10,4000
0,395,13,500
1,0,9,0
1,39360,9,12000
1,12845,12,5000
1,634,12,16155
0,3846,12,0
1,42923,12,4252
1,0,12,8443
1,0,12,0
1,24524,12,10600
0,87243,14,200
1,30747,13,12000
1,62364,12,5000
1,2614,11,300
1,0,12,0
1,31357,15,7200
0,17194,12,0
1,1087,11,3826
1,90,12,0
0,861,12,1100
1,49490,14,17000
0,5199,12,4548
1,213,12,0
1,14132,10,0
1,2260,9,8340
1,51183,14,10000
0,45354,14,7200
1,79278,13,6516
1,69042,11,19000
0,0,13,16000
1,34373,12,6240
1,3379,11,0
1,46443,12,3588
0,2036,11,0
1,25767,9,2000
1,24888,12,700
0,75,10,0
1,20058,11,7630
1,3594,12,1080
0,63423,12,4000
1,24606,12,600
0,18975,9,0
1,20751,13,7000
1,31765,12,4800
1,15302,12,1000
1,12327,11,1000
0,306,11,0
1,17127,10,0
1,18374,12,2900
0,68820,12,13000
1,0,11,6600
0,38945,12,9000
0,28804,12,3000
1,14625,12,0
0,46253,12,6500
0,0,12,0
0,26040,12,300
1,41031,12,2411
1,8775,9,600
1,321,16,2000
1,30837,13,6711
0,954,9,0
0,5737,12,4641
1,82217,8,24000
1,21616,12,400
1,80166,12,2200
1,0,8,0
1,6821,12,160
0,18501,10,400
1,0,14,260
0,16332,9,4848
0,29452,13,2003
1,6965,12,0
1,34612,14,12000
1,1565,12,0
1,26334,10,0
0,0,12,600
1,2322,12,0
1,36201,10,220
1,6747,11,0
0,0,10,10000
0,13726,12,0
1,2806,8,171
1,48553,9,11000
1,978,11,1190
1,38743,12,10080
1,0,12,3000
1,46159,16,13000
1,18147,11,0
0,13874,14,7100
1,13419,9,2400
0,20442,16,2000
1,5311,10,0
1,254,9,498
1,2108,10,1500
1,24799,12,2400
1,18299,10,8000
0,11010,10,0
1,56087,14,1500
1,23453,13,1100
1,10101,8,3744
1,18009,11,6500
1,8945,12,7800
1,16689,10,352
0,0,11,0
0,6180,9,528
0,0,13,700
0,2577,12,0
1,24536,14,1306
1,51060,9,2725
1,28804,12,1768
